Site,Col_Company,Col_Recruit,Col_detail,Col_url
saramin,(주)바른인사컨설팅,[외국계기업]데이터분석(마케팅/인사이트/성과분석) 채용,서울강남구 | 경력1년↑ | 대졸↑ | 파견직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52361406&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,트리노드(주),[서울/경력 5년 이상]데이터분석팀데이터분석가,서울강남구 | 경력5년↑ | 학력무관 | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52054775&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)핀인사이트,데이터분석및 생성형 AI 기반 자동화 시스템 개발 과정 모집,서울용산구 | 경력무관 | 학력무관 | 교육생,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52267657&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,콘센트릭스서비스코리아(유),[Catalyst] GA/AA데이터분석,서울강남구 | 경력1년↑ | 학력무관 | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52127091&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)유니드,[정규직]데이터분석및 사업관리 연구원(신입~팀장) 모집,경남진주시 | 경력무관 | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52276173&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)바이오컴,[AI 바이오 헬스케어]데이터분석전문가,서울강서구 | 경력5년↑ | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52101337&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)핀인사이트,인공지능데이터분석과정 프리랜서 강사,서울종로구 | 경력 | 대졸↑ | 프리랜서,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52348381&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,주식회사 르비딤,퍼포먼스 마케터 채용-광고 캠페인 운영/콘텐츠 협업/데이터분석,경남창원시 성산구 | 경력3년↑ | 초대졸↑ | 정규직·계약직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52275150&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,㈜이씨마이너,연구소 빅데이터분석/AI솔루션개발자/ Visual C++ 개발자 모집,"서울강남구 | 경력무관 | 대졸↑ | 정규직 | 3,500 만원",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52200836&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)블루시그널,"(철도/교통/인공지능분야) 비전, 정형데이터분석,개발 AI연구원",대전유성구 | 경력 2~5년 | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52264526&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)한국신용데이터,[데이터분석팀] Data Analyst,서울강남구 | 경력 5~12년 | 학력무관 | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52167982&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,딥카디오(주),딥카디오와 함께할데이터분석가를 모십니다.,인천연수구 | 신입·경력 | 박사 | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52227572&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,어반리즘하우스(URBANRISMHAUS),"어반리즘 하우스 경력/신입 채용공고(관광, 빅데이터분석)",부산해운대구 | 경력무관 | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52282714&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)메인라인,"AI 엔지니어 채용(데이터분석,딥러닝/경력 3년 이상)",서울마포구 | 경력무관 | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52422392&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,넛지헬스케어(주),[캐시워크]데이터분석담당 산업기능요원 (병역특례),서울강남구 | 경력무관 | 학력무관 | 산업기능요원·현역,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52349354&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,글로벌서치,임상데이터분석,서울서초구 | 경력 3~12년 | 석사↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52471904&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,패스트레인(여신티켓),데이터분석가 (5년 이상),서울강남구 | 경력 5~10년 | 고졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52279781&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)동인코퍼레이션,BI / OLAP /데이터분석엔지니어 채용,서울송파구 | 경력 5~10년 | 초대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52237375&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,제이앤컴퍼니,[핀테크기업데이터분석전문가],서울강남구 | 경력 7~20년 | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52472214&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)카카오페이,DataOps Manager -데이터분석,경기성남시 분당구 | 경력 | 학력무관 | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52097932&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)인터엑스,[울산] AI 비전·데이터분석엔지니어,울산중구 | 경력 8~15년 | 석사↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52328729&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)인터엑스,[서울] AI 비전·데이터분석엔지니어,서울금천구 | 경력 8~15년 | 석사↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52328673&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)브릭,데이터분석가(경력 3년 이상) 채용,경기성남시 분당구 | 경력3년↑ | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52217001&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)헬로서치,[유명게임사] 게임데이터분석가,경기성남시 분당구 | 경력7년↑ | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52338240&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,(주)헬로서치,[유명게임사]데이터분석담당,경기성남시 분당구 | 경력3년↑ | 대졸↑ | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52338210&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
saramin,맘꽃(주),데이터분석및 데이터베이스 관리 경력,제주제주시 | 경력 4~10년 | 학력무관 | 정규직,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=52306949&location=ts&searchword=%EB%8D%B0%EC%9D%B4%ED%84%B0%EB%B6%84%EC%84%9D&searchType=search&paid_fl=n&search_uuid=c807869f-ce9b-4db2-8a49-877b6b2d8a78
